Age_kaBP,GMST,GMST_dev
0.1,0.056951523,0.21900134
0.3,-0.05206585,0.19208118
0.5,-0.06416702,0.18599397
0.7,-0.0142354965,0.16914177
0.9,0.08937645,0.17876798
1.1,0.051843643,0.17651556
1.3,0.01637268,0.18591012
1.5,0.02169609,0.1749463
1.7,-0.038409233,0.17440443
1.9,-0.06736851,0.19276498
2.1,-0.07492638,0.20093936
2.3,-0.086660385,0.2003984
2.5,-0.059516907,0.20931467
2.7,-0.10887051,0.20339787
2.9,-0.15088463,0.19935818
3.1,-0.16575623,0.21288525
3.3,-0.22566223,0.21442094
3.5,-0.19989204,0.2135373
3.7,-0.23381996,0.1945878
3.9,-0.2402916,0.20998318
4.1,-0.22893429,0.2059596
4.3,-0.20556927,0.21692802
4.5,-0.16952801,0.21544276
4.7,-0.14259243,0.22499472
4.9,-0.13118267,0.22283316
5.1,-0.10482025,0.21936882
5.3,-0.1667633,0.23367599
5.5,-0.20523167,0.2224534
5.7,-0.19202709,0.21807067
5.9,-0.17254543,0.23527554
6.1,-0.16022968,0.23994796
6.3,-0.14763737,0.24283732
6.5,-0.14987946,0.23302989
6.7,-0.1883049,0.22893356
6.9,-0.27694035,0.24083647
7.1,-0.2973814,0.24815236
7.3,-0.38069344,0.24233118
7.5,-0.38783455,0.23823562
7.7,-0.4130783,0.24131647
7.9,-0.3755741,0.22974059
8.1,-0.37720776,0.23885073
8.3,-0.4215479,0.22957048
8.5,-0.41634846,0.26266617
8.7,-0.55078506,0.26895377
8.9,-0.5688,0.24914032
9.1,-0.5707636,0.24857178
9.3,-0.7442961,0.24565867
9.5,-0.86259174,0.26479024
9.7,-0.9070387,0.2618988
9.9,-0.99242115,0.24537843
10.1,-1.1420403,0.26091123
10.3,-1.1857567,0.26002288
10.5,-1.1643677,0.28918135
10.7,-1.2369013,0.2552802
10.9,-1.3499594,0.2591349
11.1,-1.5127583,0.26964653
11.3,-1.7701674,0.2865953
11.5,-2.0798979,0.27555996
11.7,-2.4304104,0.31634367
11.9,-2.8065195,0.29123083
12.1,-2.9611578,0.2653284
12.3,-3.1926212,0.27512327
12.5,-3.388692,0.2692279
12.7,-3.4968777,0.23992054
12.9,-3.4338083,0.2610731
13.1,-3.311388,0.25479633
13.3,-3.3195782,0.25540665
13.5,-3.4488945,0.25217977
13.7,-3.5907793,0.26001891
13.9,-3.6894646,0.2522363
14.1,-3.8702526,0.27873194
14.3,-4.0959253,0.28458458
14.5,-4.3107185,0.30243963
14.7,-4.541725,0.29686522
14.9,-4.767888,0.32327205
15.1,-5.0416584,0.34199372
15.3,-5.3176394,0.36439615
15.5,-5.564078,0.362054
15.7,-5.7517653,0.40755656
15.9,-6.052393,0.41948342
16.1,-6.2665906,0.42372435
16.3,-6.401959,0.42928243
16.5,-6.572329,0.4451501
16.7,-6.8856726,0.45883837
16.9,-7.118813,0.4653222
17.1,-7.250476,0.4872654
17.3,-7.330655,0.4980615
17.5,-7.3034606,0.46547607
17.7,-7.3375783,0.5003861
17.9,-7.357567,0.49020326
18.1,-7.254574,0.45244023
18.3,-7.171575,0.45035285
18.5,-7.229388,0.42828375
18.7,-7.1846046,0.4338296
18.9,-7.111495,0.42664278
19.1,-7.041644,0.42818168
19.3,-7.0286016,0.42017937
19.5,-7.0708184,0.4433813
19.7,-7.1195607,0.42640406
19.9,-7.112783,0.4318542
20.1,-7.0355854,0.44519442
20.3,-7.0324683,0.44316158
20.5,-7.026851,0.4482545
20.7,-7.0329328,0.4491886
20.9,-7.0427985,0.4305855
21.1,-7.034438,0.43063787
21.3,-6.9232144,0.47144473
21.5,-6.860605,0.43158197
21.7,-6.8144665,0.43445513
21.9,-6.797187,0.44283965
22.1,-6.751674,0.44804353
22.3,-6.6334124,0.45683497
22.5,-6.5374036,0.44706982
22.7,-6.42018,0.43276036
22.9,-6.370056,0.42453972
23.1,-6.3361325,0.44072765
23.3,-6.260368,0.46478674
23.5,-6.2547097,0.41600183
23.7,-6.181612,0.4375656
23.9,-6.0757504,0.41658175
