ID,Site,Plankton,lat,lon
162-980_coccolithophore,162-980,coccolithophore,55.484933,-14.702267
162-984c_coccolithophore,162-984c,coccolithophore,61.4253,-24.0825
geob11035-1_coccolithophore,geob11035-1,coccolithophore,42.171611,-9.657778
geob3104-1_coccolithophore,geob3104-1,coccolithophore,-3.6667,-37.7167
geob5546-2_coccolithophore,geob5546-2,coccolithophore,27.5367,-13.7367
m35003-4_coccolithophore,m35003-4,coccolithophore,12.09,-61.2433
339-u1385_dinocyst,339-u1385,dinocyst,37.5713,-10.12615
geob5546-2_dinocyst,geob5546-2,dinocyst,27.5367,-13.7367
kzai-01_dinocyst,kzai-01,dinocyst,-5.703166667,11.2335
md95-2002_dinocyst,md95-2002,dinocyst,47.452,-8.533833
md99-2285_dinocyst,md99-2285,dinocyst,62.6938,-3.5723
md99-2339_dinocyst,md99-2339,dinocyst,35.8855,-7.52783
108-658c_planktonic foraminifera,108-658c,planktonic foraminifera,20.7492,-18.5808
161-977a_planktonic foraminifera,161-977a,planktonic foraminifera,36.0317,-1.95528
162-980_planktonic foraminifera,162-980,planktonic foraminifera,55.484933,-14.702267
ch69-k09_planktonic foraminifera,ch69-k09,planktonic foraminifera,41.76,-47.35
gik15612-2_planktonic foraminifera,gik15612-2,planktonic foraminifera,44.36,-26.5433
gik17730-4_planktonic foraminifera,gik17730-4,planktonic foraminifera,72.1117,7.3883
m35003-4_planktonic foraminifera,m35003-4,planktonic foraminifera,12.09,-61.2433
md95-2040_planktonic foraminifera,md95-2040,planktonic foraminifera,40.5818,-9.8612
md95-2041_planktonic foraminifera,md95-2041,planktonic foraminifera,37.833333,-9.510833
md95-2042_planktonic foraminifera,md95-2042,planktonic foraminifera,37.799833,-10.1665
md95-2043_planktonic foraminifera,md95-2043,planktonic foraminifera,36.143,-2.621
md99-2284_planktonic foraminifera,md99-2284,planktonic foraminifera,62.374667,-0.980167
md99-2285_planktonic foraminifera,md99-2285,planktonic foraminifera,62.6938,-3.5723
md99-2339_planktonic foraminifera,md99-2339,planktonic foraminifera,35.8855,-7.52783
rc24-16_planktonic foraminifera,rc24-16,planktonic foraminifera,-5.038,-10.19
su90-i03_planktonic foraminifera,su90-i03,planktonic foraminifera,51.878333,-39.781667
su92-03_planktonic foraminifera,su92-03,planktonic foraminifera,43.1958,-10.113
v22-222_planktonic foraminifera,v22-222,planktonic foraminifera,28.933,-43.65
v25-59_planktonic foraminifera,v25-59,planktonic foraminifera,1.367,-33.48
v25-75_planktonic foraminifera,v25-75,planktonic foraminifera,8.583,-53.17
v28-14_planktonic foraminifera,v28-14,planktonic foraminifera,64.783,-29.57
v30-36_planktonic foraminifera,v30-36,planktonic foraminifera,5.35,-27.32
v30-40_planktonic foraminifera,v30-40,planktonic foraminifera,-0.2,-23.15
v30-49_planktonic foraminifera,v30-49,planktonic foraminifera,18.433,-21.08
v32-8_planktonic foraminifera,v32-8,planktonic foraminifera,34.78,-32.42
